House_Size,Num_Bedrooms,Num_Bathrooms,Year_Built,Garage_Capacity,Has_Pool,Has_Garden,Price
1649.0142459033698,4,3,2002,0,0,1,875601.5435951976
1458.5207096486447,1,3,2019,2,0,0,792326.3257175365
1694.3065614302077,3,1,2007,1,1,0,849134.6979168479
1956.9089569224075,5,3,1996,1,1,1,1236131.9297121672
1429.7539875829991,3,3,2003,0,0,0,820736.1445702568
1429.758912915246,3,2,1984,0,1,1,828210.7131338607
1973.7638446522174,1,1,2001,3,1,1,1130425.6283235399
1730.2304187458726,1,1,1990,2,0,0,916183.599690846
1359.1576842195143,1,1,2015,2,0,0,765117.6547922955
1662.7680130757894,2,3,1974,0,1,0,1030765.3230290199
1360.9746921562614,4,1,1975,3,0,0,818395.6379287087
1360.281073928923,2,3,2007,3,0,0,799276.4779099452
1572.5886814698101,4,3,1991,1,1,0,994039.1284268161
926.0159266026607,4,2,1987,1,0,1,568655.8526242091
982.5246502460901,3,2,1983,3,1,1,712002.701266896
1331.3137412277083,3,2,1979,1,1,0,768105.9382098843
1196.150663899673,4,2,2015,0,1,1,794361.1809274799
1594.2741997785822,4,2,1982,3,1,1,1006378.9167578812
1227.5927773436367,2,3,2000,1,1,0,689969.2519696066
1076.3088895994126,2,3,1999,2,0,0,638155.7648426652
1939.6946306764662,3,1,1972,3,0,1,1118963.5862785608
1432.2671098540393,1,3,1999,3,0,0,888559.5990963669
1520.2584614063771,4,3,1975,2,0,1,981794.4656674783
1072.575544135963,2,2,1998,0,1,0,613473.8991897248
1336.6851826424452,3,3,1977,2,1,1,971795.9056812469
1533.2767769129598,2,2,2013,3,0,1,927962.9085320078
1154.7019267733092,4,1,2014,0,1,1,714534.8449576715
1612.7094055037016,4,1,2012,1,0,1,864662.9934670997
1319.8083930243586,5,3,2013,1,0,0,803674.5175381696
1412.491875062017,1,1,2002,1,0,0,761220.283298125
1319.488016331181,5,3,1986,3,1,1,940195.6247381032
2055.6834553526814,3,1,2017,2,1,1,1209204.5531593235
1495.9508325786198,2,2,1980,0,1,0,931304.5210598467
1182.68672131323,3,2,1982,1,1,0,681769.9891146877
1746.7634736309567,4,2,2019,0,0,1,1017806.9778736404
1133.7469050086934,5,2,1980,3,1,1,811892.6612419361
1562.6590785014266,5,3,2000,1,1,1,1143228.4030592071
912.0989628360674,5,1,1997,3,1,1,680284.2033728522
1101.5441853304708,3,3,2013,2,0,1,674639.4327421668
1559.058370760737,4,2,1975,3,0,0,973047.6282162142
1721.539973998623,2,3,2010,3,1,1,1038341.5725987732
1551.4104843569912,2,1,1985,2,1,0,819253.2768209449
1465.305515283528,3,3,1973,0,1,0,938067.9808126559
1409.6688913232133,5,1,2004,2,1,0,873306.5411276775
1056.4434028897717,1,3,2017,2,0,1,637887.1406868598
1284.0467374815873,3,1,1995,3,1,0,761344.9420462658
1361.8083687120638,3,1,1981,0,1,0,773208.4728454201
1817.1366678656748,4,2,1980,1,1,0,1145512.4506366197
1603.0854868705385,2,1,2006,2,0,0,948965.5762574105
971.0879533911798,3,2,1994,0,0,1,645448.9069674517
1597.2251908184385,3,2,1987,2,1,1,904072.7153812376
1384.475315875105,5,2,1988,2,1,0,931390.8259006187
1296.9233999082123,5,3,1992,2,1,0,784664.8723872718
1683.5028866522603,1,3,2007,2,1,1,959692.6615847169
1809.2998567487853,4,3,1987,3,1,1,1188927.8508122547
1779.3840357348595,1,3,1995,0,0,1,1035571.9419526543
1248.2347430332084,5,1,1975,0,0,0,809965.7397432777
1407.2362872446356,2,1,1973,0,0,1,894263.276318307
1599.3790294210692,5,3,2013,2,1,0,1032690.2720809309
1792.6635381367078,4,1,2020,3,0,0,923380.8078163099
1356.247728646413,5,1,1998,2,0,1,839647.3220103885
1444.3023070008549,4,2,2003,2,0,0,870070.7306138744
1168.0995077981916,4,2,1986,0,1,1,773112.6675606272
1141.1380127757989,4,2,2012,2,1,0,710712.2476327799
1743.7577467182593,4,2,2012,1,0,1,971371.0666859499
1906.8720085712469,4,1,2022,2,1,0,1219473.2527585893
1478.3969635258998,2,3,1985,1,0,0,852761.2405026607
